uniprot	pdb	oln
Q3E7Y3	4v4b.AH	YLR367W
Q3E829	3v9r.B	YDL160C-A
Q3E830	4xpm.B	YCR075W-A
Q3E833	4wxa.A	YKR095W-A
Q3E835	3v9r.A	YOL086W-A
Q3E840	1yws.A	YBL071W-A
Q3E841	2grg.A	YNR034W-A
Q6Q546	1m94.A	YNR032C-A
Q6Q547	1y2y.A	YHR072W-A
Q6WNK7	3mhs.B	YBR111W-A
Q92316	6ezn.E	YGL226C-A
Q92328	5gyd.A	YOL009C
Q99176	2p22.C	YLR119W
Q99181	5zwm.4	YOR319W
Q99207	5wlc.ST	YDL148C
Q99216	6fai.h	YOR145C
Q99220	2yma.A	YDR057W
Q99257	4wwu.A	YPL169C
Q99278	4gwp.A	YMR112C
Q99380	1rkl.A	YDL232W
Q99383	2cjk.A	YOL123W
Q99385	4k1c.A	YDL128W
Q9ZZW7	2ab5.A	Q0115
