#Table S1. Protein copies per cell		
oln	SP_id	description	copies per cell
ENST00000254630	Q96EY7	Pentatricopeptide repeat-containing protein 3, mitochondrial OS=Homo sapiens GN=PTCD3 PE=1 SV=3	2.55E+03
ENST00000379567	Q9NUS5	Uncharacterized protein C20orf29 OS=Homo sapiens GN=C20orf29 PE=2 SV=1	2.54E+03
ENST00000615618	Q8N6M0	OTU domain-containing protein 6B OS=Homo sapiens GN=OTUD6B PE=1 SV=1	2.54E+03
ENST00000278980	Q86VX2	COMM domain-containing protein 7 OS=Homo sapiens GN=COMMD7 PE=1 SV=2	2.54E+03
ENST00000054666	Q15836	Vesicle-associated membrane protein 3 OS=Homo sapiens GN=VAMP3 PE=1 SV=3	2.53E+03
ENST00000370033	Q5T2E6	UPF0668 protein C10orf76 OS=Homo sapiens GN=C10orf76 PE=2 SV=1	2.53E+03
ENST00000372850	Q9BTM9	Ubiquitin-related modifier 1 homolog OS=Homo sapiens GN=URM1 PE=1 SV=1	2.52E+03
ENST00000394555	Q12805	EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2	2.52E+03
ENST00000263382	Q9NVP2	Histone chaperone ASF1B OS=Homo sapiens GN=ASF1B PE=1 SV=1	2.52E+03
ENST00000377321	O00255	Menin OS=Homo sapiens GN=MEN1 PE=1 SV=3	2.52E+03
ENST00000358779	Q9UQ88	PITSLRE serine/threonine-protein kinase CDC2L2 OS=Homo sapiens GN=CDC2L2 PE=1 SV=3	2.52E+03
ENST00000435064	Q5TA45	Integrator complex subunit 11 OS=Homo sapiens GN=CPSF3L PE=1 SV=2	2.52E+03
ENST00000542893	P78560	Death domain-containing protein CRADD OS=Homo sapiens GN=CRADD PE=1 SV=1	2.52E+03
ENST00000237889	O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Homo sapiens GN=NDUFB3 PE=1 SV=3	2.51E+03
ENST00000311502	Q3YEC7	Putative GTP-binding protein Parf OS=Homo sapiens GN=PARF PE=1 SV=2	2.51E+03
ENST00000262067	O95857	Tetraspanin-13 OS=Homo sapiens GN=TSPAN13 PE=2 SV=1	2.51E+03
ENST00000368725	Q5SY68	Protein S100-A7-like 2 OS=Homo sapiens GN=S100A7L2 PE=2 SV=1	2.51E+03
ENST00000425191	P80404	4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=1 SV=3	2.50E+03
ENST00000374242	Q9NRY2	SOSS complex subunit C OS=Homo sapiens GN=SSBIP1 PE=1 SV=1	2.50E+03
ENST00000216080	Q9BU23	Lipase maturation factor 2 OS=Homo sapiens GN=LMF2 PE=1 SV=2	2.50E+03
ENST00000313843	Q12846	Syntaxin-4 OS=Homo sapiens GN=STX4 PE=1 SV=2	2.50E+03
ENST00000456846	Q7Z7C8	Transcription initiation factor TFIID subunit 8 OS=Homo sapiens GN=TAF8 PE=1 SV=1	2.50E+03
ENST00000299821	Q6IBW4	Condensin-2 complex subunit H2 OS=Homo sapiens GN=NCAPH2 PE=1 SV=1	2.49E+03
---	Q9H4R4	Putative nuclear receptor corepressor 1-like protein C20orf191 OS=Homo sapiens GN=C20orf191 PE=5 SV=1	2.49E+03
ENST00000338399	Q96JB5	CDK5 regulatory subunit-associated protein 3 OS=Homo sapiens GN=CDK5RAP3 PE=1 SV=2	2.49E+03
ENST00000332303	Q96MG7	Melanoma-associated antigen G1 OS=Homo sapiens GN=NDNL2 PE=1 SV=1	2.49E+03
ENST00000395878	O14562	Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens GN=UBFD1 PE=1 SV=1	2.49E+03
ENST00000296215	Q8TAD8	Smad nuclear-interacting protein 1 OS=Homo sapiens GN=SNIP1 PE=1 SV=1	2.49E+03
ENST00000286835	O95104	Splicing factor, arginine/serine-rich 15 OS=Homo sapiens GN=SFRS15 PE=1 SV=3	2.48E+03
ENST00000381441	Q92564	DCN1-like protein 4 OS=Homo sapiens GN=DCUN1D4 PE=1 SV=2	2.48E+03
ENST00000437048	Q5VIR6	Vacuolar protein sorting-associated protein 53 homolog OS=Homo sapiens GN=VPS53 PE=1 SV=1	2.47E+03
ENST00000292566	Q9NXW9	Alkylated DNA repair protein alkB homolog 4 OS=Homo sapiens GN=ALKBH4 PE=1 SV=1	2.47E+03
ENST00000528838	Q00613	Heat shock factor protein 1 OS=Homo sapiens GN=HSF1 PE=1 SV=1	2.47E+03
ENST00000418581	Q9NVU0	DNA-directed RNA polymerase III subunit RPC5 OS=Homo sapiens GN=POLR3E PE=1 SV=1	2.47E+03
ENST00000373408	Q9P0B6	Transmembrane and coiled-coil domain-containing protein C6orf129 OS=Homo sapiens GN=C6orf129 PE=2 SV=2	2.46E+03
ENST00000541546	P52566	Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3	2.46E+03
ENST00000508522	P49590	Probable histidyl-tRNA synthetase, mitochondrial OS=Homo sapiens GN=HARS2 PE=1 SV=1	2.46E+03
ENST00000486556	Q15628	Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Homo sapiens GN=TRADD PE=1 SV=2	2.46E+03
ENST00000383270	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens GN=PBX2 PE=1 SV=2	2.45E+03
ENST00000539217	Q9NQ48	Leucine zipper transcription factor-like protein 1 OS=Homo sapiens GN=LZTFL1 PE=1 SV=1	2.45E+03
ENST00000618931	P51151	Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1	2.44E+03
ENST00000308982	Q9H845	Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Homo sapiens GN=ACAD9 PE=1 SV=1	2.44E+03
ENST00000355640	P98170	Baculoviral IAP repeat-containing protein 4 OS=Homo sapiens GN=XIAP PE=1 SV=2	2.44E+03
ENST00000326277	Q96RF0	Sorting nexin-18 OS=Homo sapiens GN=SNX18 PE=1 SV=2	2.44E+03
ENST00000229595	Q9Y294	Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1	2.44E+03
ENST00000396504	Q9Y535	DNA-directed RNA polymerase III subunit RPC8 OS=Homo sapiens GN=POLR3H PE=1 SV=1	2.44E+03
ENST00000357419	Q8NFV4	Abhydrolase domain-containing protein 11 OS=Homo sapiens GN=ABHD11 PE=1 SV=1	2.44E+03
ENST00000274787	Q9BW72	HIG1 domain family member 2A OS=Homo sapiens GN=HIGD2A PE=1 SV=1	2.43E+03
ENST00000585043	Q8TF74	WAS/WASL-interacting protein family member 2 OS=Homo sapiens GN=WIPF2 PE=1 SV=1	2.43E+03
ENST00000338146	Q8WW59	SPRY domain-containing protein 4 OS=Homo sapiens GN=SPRYD4 PE=1 SV=1	2.43E+03
ENST00000309295	Q8N3D4	EH domain-binding protein 1-like protein 1 OS=Homo sapiens GN=EHBP1L1 PE=1 SV=2	2.42E+03
ENST00000252136	Q8IZ69	tRNA (uracil-5-)-methyltransferase homolog A OS=Homo sapiens GN=TRMT2A PE=1 SV=2	2.42E+03
ENST00000262460	Q14691	DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1	2.41E+03
ENST00000264668	Q9UBK8	Methionine synthase reductase, mitochondrial OS=Homo sapiens GN=MTRR PE=1 SV=2	2.41E+03
ENST00000405646	Q13330	Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2	2.41E+03
ENST00000521688	Q9NPA8	Enhancer of yellow 2 transcription factor homolog OS=Homo sapiens GN=ENY2 PE=1 SV=1	2.41E+03
ENST00000346341	P32121	Beta-arrestin-2 OS=Homo sapiens GN=ARRB2 PE=1 SV=2	2.40E+03
ENST00000405717	O76054	SEC14-like protein 2 OS=Homo sapiens GN=SEC14L2 PE=1 SV=1	2.40E+03
ENST00000350796	O43739	Cytohesin-3 OS=Homo sapiens GN=CYTH3 PE=2 SV=2	2.40E+03
ENST00000340434	Q7Z6K3	Protein prenyltransferase alpha subunit repeat-containing protein 1 OS=Homo sapiens GN=PTAR1 PE=2 SV=2	2.39E+03
ENST00000348911	O95248	Myotubularin-related protein 5 OS=Homo sapiens GN=SBF1 PE=1 SV=3	2.39E+03
ENST00000263733	O75063	Protein FAM20B OS=Homo sapiens GN=FAM20B PE=2 SV=1	2.38E+03
ENST00000630460	Q9GZR2	RNA exonuclease 4 OS=Homo sapiens GN=REXO4 PE=1 SV=2	2.38E+03
ENST00000328434	Q9Y2R0	Coiled-coil domain-containing protein 56 OS=Homo sapiens GN=CCDC56 PE=1 SV=1	2.37E+03
ENST00000219345	Q8NCC3	Group XV phospholipase A2 OS=Homo sapiens GN=PLA2G15 PE=1 SV=2	2.37E+03
ENST00000323570	Q8IZ81	ELMO domain-containing protein 2 OS=Homo sapiens GN=ELMOD2 PE=1 SV=1	2.37E+03
ENST00000262713	Q96IF1	Protein ajuba OS=Homo sapiens GN=JUB PE=1 SV=1	2.36E+03
ENST00000368894	A6NFZ4	Protein FAM24A OS=Homo sapiens GN=FAM24A PE=2 SV=1	2.36E+03
ENST00000236980	Q9NYY8	FAST kinase domain-containing protein 2 OS=Homo sapiens GN=FASTKD2 PE=1 SV=1	2.35E+03
ENST00000389005	Q53F19	Uncharacterized protein C17orf85 OS=Homo sapiens GN=C17orf85 PE=1 SV=2	2.35E+03
ENST00000336617	Q5TBB1	Ribonuclease H2 subunit B OS=Homo sapiens GN=RNASEH2B PE=1 SV=1	2.35E+03
ENST00000265295	Q96EA4	Protein Spindly OS=Homo sapiens GN=CCDC99 PE=1 SV=1	2.35E+03
ENST00000296504	O75446	Histone deacetylase complex subunit SAP30 OS=Homo sapiens GN=SAP30 PE=1 SV=1	2.35E+03
ENST00000269919	Q9NXJ5	Pyroglutamyl-peptidase 1 OS=Homo sapiens GN=PGPEP1 PE=1 SV=1	2.35E+03
ENST00000377452	Q8TEA8	D-tyrosyl-tRNA(Tyr) deacylase 1 OS=Homo sapiens GN=DTD1 PE=1 SV=2	2.35E+03
ENST00000290510	Q8IVL6	Prolyl 3-hydroxylase 3 OS=Homo sapiens GN=LEPREL2 PE=2 SV=1	2.34E+03
ENST00000357814	Q9BTE0	N-acetyltransferase 9 OS=Homo sapiens GN=NAT9 PE=2 SV=1	2.34E+03
ENST00000242786	P48960	CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4	2.33E+03
ENST00000571589	Q9ULH7	MKL/myocardin-like protein 2 OS=Homo sapiens GN=MKL2 PE=1 SV=3	2.33E+03
ENST00000343631	Q93063	Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1	2.32E+03
ENST00000445288	Q6PCB5	Round spermatid basic protein 1-like protein OS=Homo sapiens GN=RSBN1L PE=1 SV=1	2.32E+03
ENST00000266564	P50542	Peroxisomal targeting signal 1 receptor OS=Homo sapiens GN=PEX5 PE=1 SV=3	2.32E+03
ENST00000304330	Q9BWH6	RNA polymerase II-associated protein 1 OS=Homo sapiens GN=RPAP1 PE=1 SV=2	2.32E+03
ENST00000261507	Q15800	C-4 methylsterol oxidase OS=Homo sapiens GN=SC4MOL PE=1 SV=1	2.32E+03
ENST00000366510	Q8NBX0	Probable saccharopine dehydrogenase OS=Homo sapiens GN=SCCPDH PE=1 SV=1	2.32E+03
---	P63118	HERV-H_3q26 provirus ancestral Gag polyprotein OS=Homo sapiens PE=3 SV=2	2.31E+03
ENST00000274712	Q96NC0	Zinc finger matrin-type protein 2 OS=Homo sapiens GN=ZMAT2 PE=1 SV=1	2.31E+03
ENST00000262507	O75208	Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens GN=COQ9 PE=1 SV=1	2.31E+03
ENST00000397977	Q9NVR2	Integrator complex subunit 10 OS=Homo sapiens GN=INTS10 PE=1 SV=2	2.31E+03
ENST00000370913	Q9NYP7	Elongation of very long chain fatty acids protein 5 OS=Homo sapiens GN=ELOVL5 PE=1 SV=1	2.31E+03
ENST00000389562	Q96L91	E1A-binding protein p400 OS=Homo sapiens GN=EP400 PE=1 SV=3	2.31E+03
ENST00000359867	P49674	Casein kinase I isoform epsilon OS=Homo sapiens GN=CSNK1E PE=1 SV=1	2.30E+03
ENST00000392334	P48730	Casein kinase I isoform delta OS=Homo sapiens GN=CSNK1D PE=1 SV=2	2.30E+03
ENST00000265229	Q9NWU5	39S ribosomal protein L22, mitochondrial OS=Homo sapiens GN=MRPL22 PE=1 SV=1	2.30E+03
ENST00000341162	Q9Y324	rRNA-processing protein FCF1 homolog OS=Homo sapiens GN=FCF1 PE=2 SV=1	2.30E+03
ENST00000263849	Q96GY0	UPF0418 protein FAM164A OS=Homo sapiens GN=FAM164A PE=1 SV=1	2.30E+03
ENST00000370471	Q06787	Fragile X mental retardation 1 protein OS=Homo sapiens GN=FMR1 PE=1 SV=1	2.30E+03
ENST00000301585	Q14197	Immature colon carcinoma transcript 1 protein OS=Homo sapiens GN=ICT1 PE=1 SV=1	2.29E+03
ENST00000219789	O14735	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1	2.29E+03
ENST00000228495	Q9H3F6	BTB/POZ domain-containing protein KCTD10 OS=Homo sapiens GN=KCTD10 PE=1 SV=1	2.29E+03
ENST00000370179	Q9H3Y8	Pancreatic progenitor cell differentiation and proliferation factor OS=Homo sapiens GN=PPDPF PE=2 SV=1	2.29E+03
ENST00000415708	Q96QD9	Forty-two-three domain-containing protein 1 OS=Homo sapiens GN=FYTTD1 PE=1 SV=2	2.28E+03
ENST00000379205	Q504U0	Uncharacterized protein C4orf46 OS=Homo sapiens GN=C4orf46 PE=2 SV=1	2.28E+03
ENST00000358776	P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADSB PE=1 SV=1	2.28E+03
ENST00000431123	P14373	Zinc finger protein RFP OS=Homo sapiens GN=TRIM27 PE=1 SV=1	2.28E+03
ENST00000322652	Q15022	Polycomb protein SUZ12 OS=Homo sapiens GN=SUZ12 PE=1 SV=3	2.28E+03
ENST00000397983	O14733	Dual specificity mitogen-activated protein kinase kinase 7 OS=Homo sapiens GN=MAP2K7 PE=1 SV=2	2.27E+03
ENST00000267484	Q16799	Reticulon-1 OS=Homo sapiens GN=RTN1 PE=1 SV=1	2.27E+03
ENST00000420320	Q14676	Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3	2.27E+03
ENST00000383066	O15533	Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1	2.27E+03
ENST00000248114	P55789	FAD-linked sulfhydryl oxidase ALR OS=Homo sapiens GN=GFER PE=1 SV=2	2.26E+03
ENST00000377603	Q9H1D9	DNA-directed RNA polymerase III subunit RPC6 OS=Homo sapiens GN=POLR3F PE=1 SV=1	2.26E+03
ENST00000318709	Q8NBF6	Late secretory pathway protein AVL9 homolog OS=Homo sapiens GN=AVL9 PE=1 SV=1	2.25E+03
ENST00000369729	Q86XK3	Uncharacterized protein C10orf78 OS=Homo sapiens GN=C10orf78 PE=1 SV=1	2.24E+03
ENST00000328504	Q6RVD6	Spermatogenesis-associated protein 8 OS=Homo sapiens GN=SPATA8 PE=1 SV=1	2.24E+03
ENST00000232496	O75896	Tumor suppressor candidate 2 OS=Homo sapiens GN=TUSC2 PE=1 SV=3	2.24E+03
ENST00000397133	Q9BV81	Transmembrane protein 93 OS=Homo sapiens GN=TMEM93 PE=1 SV=1	2.24E+03
ENST00000314358	Q7LBC6	Lysine-specific demethylase 3B OS=Homo sapiens GN=KDM3B PE=1 SV=1	2.23E+03
ENST00000323798	P13807	Glycogen [starch] synthase, muscle OS=Homo sapiens GN=GYS1 PE=1 SV=2	2.23E+03
ENST00000394728	Q8NEC7	Glutathione S-transferase C-terminal domain-containing protein OS=Homo sapiens GN=GSTCD PE=1 SV=2	2.23E+03
ENST00000373600	Q9HC98	Serine/threonine-protein kinase Nek6 OS=Homo sapiens GN=NEK6 PE=1 SV=2	2.23E+03
ENST00000357867	P02751	Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=3	2.23E+03
ENST00000409736	Q96I15	Selenocysteine lyase OS=Homo sapiens GN=SCLY PE=1 SV=2	2.22E+03
ENST00000397299	P0C870	JmjC domain-containing protein 7 OS=Homo sapiens GN=JMJD7 PE=2 SV=1	2.22E+03
ENST00000377086	O60333	Kinesin-like protein KIF1B OS=Homo sapiens GN=KIF1B PE=1 SV=5	2.22E+03
ENST00000358951	Q9H2M9	Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1	2.22E+03
ENST00000382203	P51531	Probable global transcription activator SNF2L2 OS=Homo sapiens GN=SMARCA2 PE=1 SV=2	2.22E+03
ENST00000392944	Q86YR5	G-protein-signaling modulator 1 OS=Homo sapiens GN=GPSM1 PE=1 SV=1	2.22E+03
ENST00000381801	Q9Y217	Myotubularin-related protein 6 OS=Homo sapiens GN=MTMR6 PE=1 SV=2	2.21E+03
ENST00000523410	Q9H425	Uncharacterized protein C1orf198 OS=Homo sapiens GN=C1orf198 PE=1 SV=1	2.21E+03
ENST00000457474	Q14161	ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 PE=1 SV=2	2.20E+03
ENST00000303004	P17676	CCAAT/enhancer-binding protein beta OS=Homo sapiens GN=CEBPB PE=1 SV=2	2.20E+03
ENST00000369893	Q96NB2	Sideroflexin-2 OS=Homo sapiens GN=SFXN2 PE=1 SV=2	2.20E+03
ENST00000348227	Q9H977	WD repeat-containing protein 54 OS=Homo sapiens GN=WDR54 PE=1 SV=1	2.20E+03
ENST00000414423	Q9H7D7	WD repeat-containing protein 26 OS=Homo sapiens GN=WDR26 PE=1 SV=3	2.20E+03
ENST00000256997	P11117	Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3	2.20E+03
ENST00000542035	Q96LD8	Sentrin-specific protease 8 OS=Homo sapiens GN=SENP8 PE=1 SV=1	2.19E+03
ENST00000463407	Q9BVL2	Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1 PE=1 SV=1	2.19E+03
ENST00000261439	Q86TI0	TBC1 domain family member 1 OS=Homo sapiens GN=TBC1D1 PE=1 SV=2	2.18E+03
ENST00000258080	O43464	Serine protease HTRA2, mitochondrial OS=Homo sapiens GN=HTRA2 PE=1 SV=2	2.18E+03
ENST00000629243	Q9Y296	Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1	2.18E+03
ENST00000344691	Q01196	Runt-related transcription factor 1 OS=Homo sapiens GN=RUNX1 PE=1 SV=3	2.18E+03
ENST00000265560	Q13107	Ubiquitin carboxyl-terminal hydrolase 4 OS=Homo sapiens GN=USP4 PE=1 SV=3	2.18E+03
ENST00000428668	Q96G74	OTU domain-containing protein 5 OS=Homo sapiens GN=OTUD5 PE=1 SV=1	2.18E+03
ENST00000251871	Q9NVC6	Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens GN=MED17 PE=1 SV=1	2.18E+03
ENST00000439724	P84022	Mothers against decapentaplegic homolog 3 OS=Homo sapiens GN=SMAD3 PE=1 SV=1	2.18E+03
ENST00000474629	Q460N5	Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=2	2.18E+03
ENST00000354611	A2RUC4	JmjC domain-containing protein C2orf60 OS=Homo sapiens GN=C2orf60 PE=2 SV=1	2.18E+03
ENST00000331581	Q9BY67	Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=2	2.18E+03
ENST00000299886	Q8WTW3	Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1	2.18E+03
ENST00000333130	Q9NQ50	39S ribosomal protein L40, mitochondrial OS=Homo sapiens GN=MRPL40 PE=1 SV=1	2.17E+03
ENST00000559514	Q9BW66	Cyclin-dependent kinase 2-interacting protein OS=Homo sapiens GN=CINP PE=1 SV=1	2.17E+03
ENST00000496897	Q92995	Ubiquitin carboxyl-terminal hydrolase 13 OS=Homo sapiens GN=USP13 PE=1 SV=2	2.17E+03
ENST00000620384	Q6SJ93	Protein FAM111B OS=Homo sapiens GN=FAM111B PE=2 SV=1	2.17E+03
ENST00000421757	Q53EP0	Fibronectin type III domain-containing protein 3B OS=Homo sapiens GN=FNDC3B PE=1 SV=2	2.16E+03
ENST00000326840	Q96PD2	Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens GN=DCBLD2 PE=1 SV=1	2.16E+03
ENST00000343450	O75528	Transcriptional adapter 3-like OS=Homo sapiens GN=TADA3L PE=1 SV=1	2.16E+03
ENST00000368713	P33764	Protein S100-A3 OS=Homo sapiens GN=S100A3 PE=1 SV=1	2.16E+03
ENST00000291107	Q12979	Active breakpoint cluster region-related protein OS=Homo sapiens GN=ABR PE=1 SV=1	2.16E+03
ENST00000297508	Q8IY33	MICAL-like protein 2 OS=Homo sapiens GN=MICALL2 PE=1 SV=1	2.16E+03
ENST00000263257	Q9UNW9	RNA-binding protein Nova-2 OS=Homo sapiens GN=NOVA2 PE=1 SV=1	2.16E+03
ENST00000284273	Q8TF42	Ubiquitin-associated and SH3 domain-containing protein B OS=Homo sapiens GN=UBASH3B PE=1 SV=2	2.15E+03
ENST00000564053	O60936	Nucleolar protein 3 OS=Homo sapiens GN=NOL3 PE=1 SV=1	2.15E+03
ENST00000375946	Q96GX5	Microtubule-associated serine/threonine-protein kinase-like OS=Homo sapiens GN=MASTL PE=1 SV=1	2.15E+03
ENST00000419016	Q9NZZ3	Charged multivesicular body protein 5 OS=Homo sapiens GN=CHMP5 PE=1 SV=1	2.15E+03
ENST00000493583	P19532	Transcription factor E3 OS=Homo sapiens GN=TFE3 PE=1 SV=4	2.15E+03
ENST00000451321	Q96CB8	Integrator complex subunit 12 OS=Homo sapiens GN=INTS12 PE=1 SV=1	2.15E+03
ENST00000273317	Q9UGP4	LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1	2.15E+03
ENST00000258243	Q14146	Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens GN=URB2 PE=1 SV=2	2.15E+03
ENST00000398130	Q9P260	LisH domain and HEAT repeat-containing protein KIAA1468 OS=Homo sapiens GN=KIAA1468 PE=1 SV=2	2.15E+03
ENST00000483063	Q9NR33	DNA polymerase epsilon subunit 4 OS=Homo sapiens GN=POLE4 PE=1 SV=2	2.15E+03
ENST00000409939	Q4KMP7	TBC1 domain family member 10B OS=Homo sapiens GN=TBC1D10B PE=1 SV=2	2.15E+03
ENST00000314128	P52630	Signal transducer and activator of transcription 2 OS=Homo sapiens GN=STAT2 PE=1 SV=1	2.14E+03
ENST00000267512	P59190	Ras-related protein Rab-15 OS=Homo sapiens GN=RAB15 PE=1 SV=1	2.14E+03
ENST00000344595	Q9GZT4	Serine racemase OS=Homo sapiens GN=SRR PE=1 SV=1	2.14E+03
ENST00000595068	Q15853	Upstream stimulatory factor 2 OS=Homo sapiens GN=USF2 PE=1 SV=1	2.13E+03
ENST00000225737	O43572	A kinase anchor protein 10, mitochondrial OS=Homo sapiens GN=AKAP10 PE=1 SV=2	2.13E+03
ENST00000371486	P23786	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2	2.13E+03
ENST00000294383	Q9UPU5	Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens GN=USP24 PE=1 SV=3	2.12E+03
ENST00000627272	Q9NS87	Kinesin-like protein KIF15 OS=Homo sapiens GN=KIF15 PE=1 SV=1	2.12E+03
ENST00000399598	Q14CS0	UBX domain-containing protein 2B OS=Homo sapiens GN=UBXN2B PE=1 SV=1	2.12E+03
ENST00000202816	Q9H501	ESF1 homolog OS=Homo sapiens GN=ESF1 PE=1 SV=1	2.12E+03
ENST00000519088	Q96BK5	Pin2-interacting protein X1 OS=Homo sapiens GN=PINX1 PE=1 SV=2	2.12E+03
ENST00000361899	P00846	ATP synthase subunit a OS=Homo sapiens GN=MT-ATP6 PE=1 SV=1	2.12E+03
ENST00000589699	Q15555	Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1	2.11E+03
ENST00000402718	Q9GZQ3	COMM domain-containing protein 5 OS=Homo sapiens GN=COMMD5 PE=1 SV=1	2.11E+03
ENST00000394689	Q9NPI1	Bromodomain-containing protein 7 OS=Homo sapiens GN=BRD7 PE=1 SV=1	2.11E+03
ENST00000288532	Q5HYK3	Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial OS=Homo sapiens GN=COQ5 PE=1 SV=2	2.09E+03
ENST00000505755	P27540	Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens GN=ARNT PE=1 SV=1	2.09E+03
ENST00000382564	Q96DA6	Mitochondrial import inner membrane translocase subunit TIM14 OS=Homo sapiens GN=DNAJC19 PE=1 SV=3	2.09E+03
ENST00000382021	Q5F1R6	DnaJ homolog subfamily C member 21 OS=Homo sapiens GN=DNAJC21 PE=1 SV=1	2.08E+03
ENST00000376663	P35226	Polycomb complex protein BMI-1 OS=Homo sapiens GN=BMI1 PE=1 SV=2	2.08E+03
ENST00000298746	Q8WWH5	Probable tRNA pseudouridine synthase 1 OS=Homo sapiens GN=TRUB1 PE=1 SV=1	2.08E+03
ENST00000433430	Q8IYB7	DIS3-like exonuclease 2 OS=Homo sapiens GN=DIS3L2 PE=1 SV=3	2.07E+03
ENST00000299705	Q9Y3Q3	Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=2 SV=1	2.07E+03
ENST00000319942	P53611	Geranylgeranyl transferase type-2 subunit beta OS=Homo sapiens GN=RABGGTB PE=1 SV=2	2.07E+03
ENST00000369968	Q96S66	Chloride channel CLIC-like protein 1 OS=Homo sapiens GN=CLCC1 PE=1 SV=1	2.07E+03
ENST00000585591	O43760	Synaptogyrin-2 OS=Homo sapiens GN=SYNGR2 PE=1 SV=1	2.07E+03
ENST00000382384	Q9Y4P8	WD repeat domain phosphoinositide-interacting protein 2 OS=Homo sapiens GN=WIPI2 PE=1 SV=1	2.07E+03
ENST00000601220	O43633	Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1	2.07E+03
ENST00000308724	O75843	AP-1 complex subunit gamma-like 2 OS=Homo sapiens GN=AP1G2 PE=1 SV=1	2.06E+03
ENST00000406434	Q9H0Q0	Protein FAM49A OS=Homo sapiens GN=FAM49A PE=1 SV=1	2.06E+03
ENST00000396063	P52657	Transcription initiation factor IIA subunit 2 OS=Homo sapiens GN=GTF2A2 PE=1 SV=1	2.06E+03
ENST00000540764	Q5NDL2	Uncharacterized glycosyltransferase AER61 OS=Homo sapiens GN=AER61 PE=2 SV=1	2.06E+03
ENST00000564609	P51159	Ras-related protein Rab-27A OS=Homo sapiens GN=RAB27A PE=1 SV=3	2.06E+03
ENST00000381232	O43166	Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=1 SV=4	2.06E+03
ENST00000530271	Q9H4A3	Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=1 SV=1	2.06E+03
ENST00000396649	Q96IV0	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase OS=Homo sapiens GN=NGLY1 PE=1 SV=1	2.05E+03
ENST00000220514	O43482	Protein Mis18-beta OS=Homo sapiens GN=OIP5 PE=1 SV=2	2.05E+03
ENST00000264033	P22681	E3 ubiquitin-protein ligase CBL OS=Homo sapiens GN=CBL PE=1 SV=2	2.05E+03
ENST00000262990	Q9Y3S2	Zinc finger protein 330 OS=Homo sapiens GN=ZNF330 PE=1 SV=1	2.05E+03
