id,domain,uniprot,genes,details,function1,function2,invis,obsolete,species
587,4XDN,P40090,SCC4 YER147C,,"Involved in sister chromatid cohesion (PubMed:10882066). Forms a complex with SCC2, which is required for the association of the cohesin complex with chromosomes (PubMed:10882066, PubMed:26038942). Binds to the nucleosome-free promoter regions of ribosomal protein genes and tRNA genes (PubMed:25173104). {ECO:0000269|PubMed:10882066, ECO:0000269|PubMed:25173104, ECO:0000269|PubMed:26038942}.",,1,,0
588,4XMM,P49687,NUP145 RAT10 YGL092W,,"Functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. Active directional transport is assured by both, a Phe-Gly (FG) repeat affinity gradient for these transport factors across the NPC and a transport cofactor concentration gradient across the nuclear envelope (GSP1 and GSP2 GTPases associated predominantly with GTP in the nucleus, with GDP in the cytoplasm). NUP145 is autocatalytically cleaved in vivo in 2 polypeptides which assume different functions in the NPC. NUP145N as one of the FG repeat nucleoporins participates in karyopherin interactions and contains part of the autocatalytic cleavage activity. NUP145C as part of the NUP84 complex is involved in nuclear poly(A)+ RNA and tRNA export. It is also required for normal NPC distribution (probably through interactions with MLP1 and MLP2) and NPC assembly, as well as for normal nuclear envelope organization. {ECO:0000269|PubMed:10542288, ECO:0000269|PubMed:10638763, ECO:0000269|PubMed:11823431, ECO:0000269|PubMed:12604785, ECO:0000269|PubMed:15039779, ECO:0000269|PubMed:8044840, ECO:0000269|PubMed:8195299, ECO:0000269|PubMed:8524308, ECO:0000269|PubMed:9305650}.",,1,,0
589,4XMM,P46673,NUP85 RAT9 YJR042W J1624,,"Functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. NUP85 is involved in nuclear poly(A)+ RNA and pre-ribosome export, in GSP1 nuclear import, in NPC assembly and distribution, as well as in nuclear envelope organization. {ECO:0000269|PubMed:11071906, ECO:0000269|PubMed:11823431, ECO:0000269|PubMed:12543930, ECO:0000269|PubMed:12730220, ECO:0000269|PubMed:8816998, ECO:0000269|PubMed:9774696}.",,1,,0
590,4XMN,P35729,NUP120 RAT2 YKL057C YKL313 YKL314,,"Functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. NUP120 is involved in nuclear poly(A)+ RNA and pre-ribosome export, in GSP1 nuclear import, in NPC assembly and distribution, as well as in nuclear envelope organization. {ECO:0000269|PubMed:11071906, ECO:0000269|PubMed:11823431, ECO:0000269|PubMed:12730220, ECO:0000269|PubMed:8557737, ECO:0000269|PubMed:8565072}.",,1,,0
591,4XNH,P12945,NAT1 AAA1 YDL040C D2720,,"Non-catalytic component of the NatA N-terminal acetyltransferase, which catalyzes acetylation of proteins beginning with Met-Ser, Met-Gly and Met-Ala. N-acetylation plays a role in normal eukaryotic translation and processing, protect against proteolytic degradation and protein turnover. NAT1 anchors ARD1 and NAT5 to the ribosome and may present the N termini of nascent polypeptides for acetylation. {ECO:0000269|PubMed:14517307, ECO:0000269|PubMed:1600941}.",,1,,0
592,4XNH,P07347,ARD1 YHR013C,,"Catalytic component of the NatA N-terminal acetyltransferase, which catalyzes acetylation of proteins beginning with Met-Ser, Met-Gly and Met-Ala. N-acetylation plays a role in normal eukaryotic translation and processing, protect against proteolytic degradation and protein turnover. {ECO:0000269|PubMed:1600941, ECO:0000269|PubMed:2551674}.",,1,,0
593,4XNH,Q08689,NAT5 YOR253W,,"N-alpha-acetyltransferase that acetylates the N-terminus of proteins that retain their initiating methionine (PubMed:25886145). Has a broad substrate specificity: able to acetylate the initiator methionine of most peptides (PubMed:25886145). Non-essential component of the NatA N-terminal acetyltransferase (PubMed:14517307). {ECO:0000269|PubMed:14517307, ECO:0000269|PubMed:25886145}.",,1,,0
594,4XPM,Q3E830,YCR075W-A,,,,1,,0
595,4ZAC,Q03034,FDC1 YDR539W D3703.2,,"Catalyzes the reversible decarboxylation of aromatic carboxylic acids like ferulic acid, p-coumaric acid or cinnamic acid, producing the corresponding vinyl derivatives 4-vinylphenol, 4-vinylguaiacol, and styrene, respectively, which play the role of aroma metabolites (PubMed:20471595, PubMed:25647642). Not essential for ubiquinone synthesis (PubMed:20471595). {ECO:0000255|HAMAP-Rule:MF_03196, ECO:0000269|PubMed:20471595, ECO:0000269|PubMed:25647642}.",,1,,0
596,4ZXF,P28321,YJU3 YKL094W YKL441,,"Converts monoacylglycerides (MAG) to free fatty acids and glycerol. Required for efficient degradation of MAG, short-lived intermediates of glycerolipid metabolism which may also function as lipid signaling molecules. Controls inactivation of the signaling lipid N-palmitoylethanolamine (PEA). {ECO:0000269|PubMed:19529773, ECO:0000269|PubMed:20554061}.",,1,,0
597,5A07,P38131,KTR4 YBR199W YBR1411,,"Possible glycosyltransferase that transfers an alpha-D-mannosyl residue from GDP-mannose into lipid-linked oligosaccharide, forming an alpha-(1->2)-D-mannosyl-D-mannose linkage.",,1,,0
598,5AEX,P41948,MEP2 AMT2 YNL142W N1207 N1820,,"Transporter for ammonium (both charged and uncharged NH3 and NH4) to use as a nitrogen source. The affinity of MEP2 is about twenty times higher than that of MEP1. MEP3 has the lowest affinity. Under ammonium limitation acts as an ammonium sensor, generating a signal that leads to pseudohyphal growth. {ECO:0000269|PubMed:11069679, ECO:0000269|PubMed:11486013, ECO:0000269|PubMed:9234685, ECO:0000269|PubMed:9482721}.",,1,,0
599,5AMS,P35184,SQT1 YIR012W YIB12W,,May be involved in the late step of 60S ribosomal subunit assembly or modification in the cytoplasm.,,1,,0
600,5BV3,Q06151,DCS1 YLR270W,,"Decapping scavenger enzyme that catalyzes the cleavage of a residual cap structure following the degradation of mRNAs by the 3'->5' exosome-mediated mRNA decay pathway. Hydrolyzes cap analog structures like 7-methylguanosine nucleoside triphosphate (m7GpppG) and tri-methyl guanosine nucleoside triphosphate (m3(2,2,7)GpppG) with up to 10 nucleotide substrates (small capped oligoribonucleotides) and specifically releases 5'-phosphorylated RNA fragments and 7-methylguanosine monophosphate (m7GMP) or tri-methyl guanosine nucleoside monophosphate (m3(2,2,7)GMP), respectively. Does not hydrolyze unmethylated cap analog (GpppG) and shows no decapping activity on intact m7GpppG-capped mRNA molecules longer than 25 nucleotides. Does not hydrolyze 7-methylguanosine diphosphate (m7GDP) and tri-methylguanosine diphosphate (m3(2,2,7)GDP) to (m(7)GMP) and m3(2,2,7)GMP, respectively (PubMed:22985415). May also play a role in the 5'->3 mRNA decay pathway; m7GDP, the downstream product released by the 5'->3' mRNA mediated decapping activity, may be also converted by DCS1 to m7GMP (PubMed:14523240). Binds to m7GpppG and strongly to m7GDP. May also regulate the 5'->3' exoribonucleolytic mRNA decay pathway in a cap-independent manner. Negatively regulates trehalase activity. {ECO:0000269|PubMed:12198172, ECO:0000269|PubMed:14523240, ECO:0000269|PubMed:15240832, ECO:0000269|PubMed:15273322, ECO:0000269|PubMed:16260594, ECO:0000269|PubMed:16963086, ECO:0000269|PubMed:22985415}.",,1,,0
601,5C77,Q12314,SFM1 YOR021C OR26.11,,S-adenosyl-L-methionine-dependent protein-arginine N-methyltransferase that monomethylates ribosomal protein S3 (RPS3) at 'Arg-146'. {ECO:0000269|PubMed:22650761}.,,1,,0
602,5COG,Q03036,IRC4 YDR540C,,,,1,,0
603,5CSK,Q00955,ACC1 ABP2 FAS3 MTR7 YNR016C N3175,,"Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase. Involved in the synthesis of very-long-chain fatty acid synthesis which is required to maintain a functional nuclear envelope. Required for acylation and vacuolar membrane association of VAC8 which is necessary to maintain a normal morphology of the vacuole. {ECO:0000269|PubMed:10757783, ECO:0000269|PubMed:12730220, ECO:0000269|PubMed:6103540, ECO:0000269|PubMed:6108218, ECO:0000269|PubMed:8943372}.",,1,,0
604,5CSM,P32178,ARO7 OSM2 YPR060C YP9499.15C,,,,1,,0
605,5D80,P17255,VMA1 CLS8 TFP1 YDL185W D1286,,"Catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase (vacuolar ATPase) is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. It is an electrogenic proton pump that generates a proton motive force of 180 mV, inside positive and acidic, in the vacuolar membrane vesicles. It may participate in maintenance of cytoplasmic Ca(2+) homeostasis. This is a catalytic subunit. {ECO:0000269|PubMed:1534148}.; FUNCTION: PI-SceI is an endonuclease that can cleave at a site present in a VMA1 allele that lacks the derived endonuclease segment of the open reading frame; cleavage at this site only occurs during meiosis and initiates ""homing"", a genetic event that converts a VMA1 allele lacking VDE into one that contains it. {ECO:0000269|PubMed:1534148}.",,1,,0
606,5D80,P16140,VMA2 VAT2 YBR127C YBR1002,,"Non-catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. It is an electrogenic proton pump that generates a proton motive force of 180 mv, inside positive and acidic, in the vacuolar membrane vesicles. {ECO:0000269|PubMed:2141385}.",,1,,0
607,5DAT,P23301,HYP2 TIF51A YEL034W SYGP-ORF21,,"mRNA-binding protein involved in translation elongation. Has an important function at the level of mRNA turnover, probably acting downstream of decapping. Involved in actin dynamics and cell cycle progression, mRNA decay and probably in a pathway involved in stress response and maintenance of cell wall integrity. Essential for polarized growth, a process necessary for G1/S transition. May mediate large range of effects of the polyamine spermidine in the cell. {ECO:0000269|PubMed:10229683, ECO:0000269|PubMed:16157662, ECO:0000269|PubMed:16408210, ECO:0000269|PubMed:16914118, ECO:0000269|PubMed:19338753, ECO:0000269|PubMed:19424157, ECO:0000269|PubMed:641056, ECO:0000269|PubMed:8307948, ECO:0000269|PubMed:9582285}.",,1,,0
608,5DFZ,P22543,VPS34 END12 PEP15 VPL7 VPT29 YLR240W L9672.10,,"Phosphatidylinositol 3-kinase required for cytoplasm to vacuole transport (Cvt) and autophagy as a part of the autophagy-specific VPS34 PI3-kinase complex I. This complex is essential to recruit the ATG8-phosphatidylinositol conjugate and the ATG12-ATG5 conjugate to the pre-autophagosomal structure. Also involved in endosome-to-Golgi retrograde transport as part of the VPS34 PI3-kinase complex II. This second complex is required for the endosome-to-Golgi retrieval of PEP1 and KEX2, and the recruitment of VPS5 and VPS7, two components of the retromer complex, to endosomal membranes (probably through the synthesis of a specific pool of phosphatidylinositol 3-phosphate recruiting the retromer to the endosomes). Its activation by VPS15 may lead to the phosphorylation of phosphatidylinositol in the sorting compartment membrane. Finally, it might also be involved in ethanol tolerance and cell wall integrity. {ECO:0000269|PubMed:11157979, ECO:0000269|PubMed:11523784, ECO:0000269|PubMed:12244127, ECO:0000269|PubMed:2247081, ECO:0000269|PubMed:2555343, ECO:0000269|PubMed:3062374, ECO:0000269|PubMed:7929582, ECO:0000269|PubMed:7989323, ECO:0000269|PubMed:8385367, ECO:0000269|PubMed:8387919}.",,1,,0
609,5DGE,P0CX53,RPL12A RPL15B YEL054C,,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",,1,,0
610,5DGE,P05318,RPP1A L12EIIA RPA1 RPLA1 YDL081C,,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",,1,,0
611,5DVB,Q04120,TSA2 YDR453C D9461.38,,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events (PubMed:10681558, PubMed:11741925, PubMed:15210711). Can act alternatively as peroxidase and molecular chaperone. Oxidative stress and heat shock exposure cause a reversible shift of the protein structure from low MW species to high MW complexes, triggering a peroxidase-to-chaperone functional switch. The chaperone function of the protein enhances resistance to heat shock (PubMed:15163410). {ECO:0000269|PubMed:10681558, ECO:0000269|PubMed:11741925, ECO:0000269|PubMed:15163410, ECO:0000269|PubMed:15210711}.",,1,,0
612,5EQJ,P46959,GCD14 TRM61 YJL125C J0710,,"Catalytic subunit of tRNA (adenine-N(1)-)-methyltransferase, which catalyzes the formation of N(1)-methyladenine at position 58 (m1A58) in initiator methionyl-tRNA (PubMed:10779558, PubMed:9851972). GCD14 is also required for repression of GCN4 mRNA translation by the upstream open reading frames (uORFs) under conditions of amino acid sufficiency (PubMed:9539420). {ECO:0000269|PubMed:10779558, ECO:0000269|PubMed:9539420, ECO:0000269|PubMed:9851972}.",,1,,0
613,5FJ8,P04051,RPO31 RPC1 RPC160 YOR116C O3254 YOR3254C,,"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Largest and catalytic core component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs. Forms the polymerase active center together with the second largest subunit. A single-stranded DNA template strand of the promoter is positioned within the central active site cleft of Pol III. A bridging helix emanates from RPC1 and crosses the cleft near the catalytic site and is thought to promote translocation of Pol III by acting as a ratchet that moves the RNA-DNA hybrid through the active site by switching from straight to bent conformations at each step of nucleotide addition (By similarity). {ECO:0000250}.",,1,,0
614,5FJ8,P22276,RET1 RPC128 RPC2 YOR207C,,"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Second largest core component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs. Proposed to contribute to the polymerase catalytic activity and forms the polymerase active center together with the largest subunit. Pol III is composed of mobile elements and RPC2 is part of the core element with the central large cleft and probably a clamp element that moves to open and close the cleft (By similarity). {ECO:0000250}.",,1,,0
615,5FJ8,P32349,RPC82 RPC3 YPR190C P9677.11,,"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Specific core component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs.",,1,,0
616,5FL8,P0CX44,RPL1B SSM1B SSM2 YGL135W G2834,,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. uL1 forms part of the L1 stalk, a mobile element that plays a role in evacuating the exit-site tRNA. {ECO:0000305|PubMed:22096102}.",,1,,0
617,5FLZ,P53378,TUB4 YLR212C L8167.21,,"Tubulin is the major constituent of microtubules. The gamma chain is found at microtubule organizing centers (MTOC) such as the spindle poles or the centrosome, suggesting that it is involved in the minus-end nucleation of microtubule assembly. TUB4 is an important spindle pole body component that organizes both cytoplasmic and nuclear microtubule arrays.",,1,,0
618,5GAN,Q06819,DIB1 CDH1 SNU16 YPR082C P9513.12,,Essential role in pre-mRNA splicing. Also essential for entry into mitosis (G2/M progression) as well as for chromosome segregation during mitosis.,,1,,0
619,5GAN,P49704,PRP31 YGR091W,,Promotes the association of the U4/U6.U5 tri-snRNP particle with pre-spliceosomes to form the mature spliceosomal complex. {ECO:0000269|PubMed:8604353}.,,1,,0
620,5GAN,P19735,PRP6 RNA6 YBR055C YBR0508,,"Participates in pre-mRNA splicing. Part of the U4/U5/U6 tri-snRNP complex, one of the building blocks of the spliceosome.",,1,,0
621,5GLG,P21375,OSM1 YJR051W J1659,,"Irreversibly catalyzes the reduction of fumarate to succinate. Together with the second isozyme of soluble fumarate reductase (FRD1), essential for anaerobic growth. Involved in maintaining redox balance during oxygen deficiency conditions. Reduction of fumarate is the main source of succinate during fermentation, and under anaerobic conditions, the formation of succinate is strictly required for the reoxidation of FADH(2). {ECO:0000269|PubMed:12949191, ECO:0000269|PubMed:17345583, ECO:0000269|PubMed:9587404, ECO:0000269|PubMed:9711846}.",,1,,0
622,5GM6,Q04693,RSE1 SAP130 YML049C YM9827.03C,,"Involved in G2/M transition (By similarity). Required for pre-mRNA splicing and endoplasmic reticulum (ER) to Golgi secretion pathway. U2 snRNPs associated protein required for the pre-spliceosome assembly. The involvement in ER to Golgi secretion is probably indirect and due to the splicing of the pre-mRNA coding for SAR1, a small GTP-binding protein required for COPII vesicle formation from the ER. {ECO:0000250, ECO:0000269|PubMed:10369685, ECO:0000269|PubMed:9819400}.",,1,,0
623,5GM6,P49955,HSH155 YMR288W YM8021.14,,Contacts pre-mRNA on both sides of the branch site early in spliceosome assembly. {ECO:0000250}.,,1,,0
624,5GM6,Q06835,RDS3 YPR094W P9513.2,,"Required for pre-mRNA splicing. Involved in regulation of drug sensitivity and may play a role in multidrug resistance. {ECO:0000269|PubMed:11943786, ECO:0000269|PubMed:14517302}.",,1,,0
625,5GM6,P0C074,YSF3 RCP10 YNL138W-A,,Involved in pre-mRNA splicing. Required for the SF3b integrity and prespliceosome assembly. {ECO:0000269|PubMed:16314500}.,,1,,0
626,5GM6,P40565,IST3 SNU17 YIR005W YIB5W,,"Required for pre-mRNA splicing and spliceosome assembly. As part of the pre-mRNA retention and splicing (RES) complex, required for nuclear pre-mRNA retention and efficient splicing. Required for MER1-activated splicing. {ECO:0000269|PubMed:11287609, ECO:0000269|PubMed:14973223, ECO:0000269|PubMed:15565172}.",,1,,0
627,5GMK,P36048,SNU114 GIN10 YKL173W YKL637,,Component of the U5 snRNP complex required for pre-mRNA splicing. Binds GTP.,,1,,0
628,5GMK,P25337,BUD31 CWC14 YCR063W YCR63W YCR903,,Involved in pre-mRNA splicing. Important for bud site selection.,,1,,0
629,5GMK,P40204,SMX2 SNP2 YFL017W-A YFL017Bw,,"Involved in pre-mRNA splicing. Binds snRNA U1, U2, U4 and U5 which contain a highly conserved structural motif called the Sm binding site.",,1,,0
630,5GMK,P43321,SMD3 YLR147C L9634.6,,"Involved in pre-mRNA splicing. Binds snRNA U1, U2, U4 and U5 which contain a highly conserved structural motif called the Sm binding site. Also binds telomerase RNA and is required for its accumulation. {ECO:0000269|PubMed:10490028, ECO:0000269|PubMed:7799953}.",,1,,0
631,5GMK,Q06091,SNT309 NTC25 YPR101W,,"Involved in pre-mRNA splicing by stabilizing the NTC (or PRP19-associated complex). As a component of the NTC complex, associates to the spliceosome to mediate conformational rearrangement or to stabilize the structure of the spliceosome after U4 snRNA dissociation, which leads to spliceosome maturation. {ECO:0000269|PubMed:10318896, ECO:0000269|PubMed:9528791}.",,1,,0
632,5GYD,Q92328,MDM12 YOL009C,,"Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM12 is required for the interaction of the ER-resident membrane protein MMM1 and the outer mitochondrial membrane-resident beta-barrel protein MDM10. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all mitochondrial outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids. {ECO:0000255|HAMAP-Rule:MF_03104, ECO:0000269|PubMed:17410204, ECO:0000269|PubMed:19556461}.",,1,,0
633,5HWK,P32656,GCG1 YER163C SYGP-ORF3,,"Catalyzes the cleavage of glutathione into 5-oxo-L-proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides. Allows utilization of gluthathione through subsequent cleavage of the Cys-Gly dipeptide by Cys-Gly metallodipeptidase DUG1. {ECO:0000269|PubMed:23070364}.",,1,,0
634,5I9E,P80428,ARP4 ACT3 YJL081C J1012,,"Chromatin interaction component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of selected genes principally by acetylation of nucleosomal histone H4 and H2A. The NuA4 complex is also involved in DNA repair. ARP4 recognizes H2AS128ph (gamma-H2A) and is required for NuA4 complex integrity. Component of the SWR1 complex which mediates the ATP-dependent exchange of histone H2A for the H2A variant HZT1 leading to transcriptional regulation of selected genes by chromatin remodeling. Component of the INO80 complex which remodels chromatin by shifting nucleosomes. Its ability to induce transcription of some phosphate-responsive genes is modulated by inositol polyphosphates. The INO80 complex is involved in DNA repair by associating to gamma-H2A as a response to DNA damage. {ECO:0000269|PubMed:10911987, ECO:0000269|PubMed:10952318, ECO:0000269|PubMed:11937627, ECO:0000269|PubMed:12353039, ECO:0000269|PubMed:14622406, ECO:0000269|PubMed:14645854, ECO:0000269|PubMed:14690608, ECO:0000269|PubMed:15045029, ECO:0000269|PubMed:15610740}.",,1,,0
635,5JEA,Q05636,RRP45 YDR280W D9954.1,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. RRP45 is part of the hexameric ring of RNase PH domain-containing subunits proposed to form a central channel which threads RNA substrates for degradation. {ECO:0000269|PubMed:10465791, ECO:0000269|PubMed:17173052}.",,1,,0
636,5JEA,P46948,SKI6 ECM20 RRP41 YGR195W G7587,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. SKI6 is part of the hexameric ring of RNase PH domain-containing subunits proposed to form a central channel which threads RNA substrates for degradation. {ECO:0000269|PubMed:17173052, ECO:0000269|PubMed:9390555}.",,1,,0
637,5JEA,P53256,RRP46 YGR095C,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. RRP46 is part of the hexameric ring of RNase PH domain-containing subunits proposed to form a central channel which threads RNA substrates for degradation. {ECO:0000269|PubMed:10465791, ECO:0000269|PubMed:17173052}.",,1,,0
638,5JEA,Q12277,RRP42 YDL111C,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. RRP42 is part of the hexameric ring of RNase PH domain-containing subunits proposed to form a central channel which threads RNA substrates for degradation. {ECO:0000269|PubMed:17173052, ECO:0000269|PubMed:9390555}.",,1,,0
639,5JEA,P48240,MTR3 YGR158C G6676,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. MTR3 is part of the hexameric ring of RNase PH domain-containing subunits proposed to form a central channel which threads RNA substrates for degradation. {ECO:0000269|PubMed:10465791, ECO:0000269|PubMed:17173052, ECO:0000269|PubMed:8534909}.",,1,,0
640,5JEA,Q08285,RRP40 YOL142W,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. RRP40 as peripheral part of the Exo-9 complex is thought to stabilize the hexameric ring of RNase PH-domain subunits. {ECO:0000269|PubMed:10465791, ECO:0000269|PubMed:17173052, ECO:0000269|PubMed:19060898}.",,1,,0
