#Table S3. Evolutionary rates based on five methods of heuristic counting and maximum-likelihood approaches
#Note: See online supplementary information for the details.
#1. NG: Nei, M. and Gojobori, T. (1986)
#2. LWL: Li, W.H., et al. (1985)
#3. LPB: Li, W.H. (1993) and Pamilo, P. and Bianchi, N.O. (1993)
#4. MLWL (Modified LWL): Tzeng, Y.H., et al. (2004)
#5. MLPB (Modified LPB): Tzeng, Y.H., et al. (2004)
#6. YN: Yang, Z. and Nielsen, R. (2000)
#7. MYN (Modified YN): Zhang, Z., et al. (2006)
gene	ecoli	salmonella	dN_NG	dS_NG	dNdS_NG	dN_LWL	dS_LWL	dNdS_LWL	dN_MLWL	dS_MLWL	dNdS_MLWL	dN_LPB	dS_LPB	dNdS_LPB	dN_MLPB	dS_MLPB	dNdS_MLPB	dN_YN	dS_YN	dNdS_YN	kappa_MYN	t_MYN	S_MYN	N_MYN	dNdS_MYN	dN_MYN	dS_MYN
bcr	b2182	STM2221	0.0400136	1.65233	0.0242164	0.0480458	1.30966	0.0366856	0.0407575	1.25626	0.0324434	0.0488135	1.16596	0.0418656	0.0406642	1.22862	0.0330974	0.0356825	1.45399	0.0245411	2.81301	1.8866	330.3	857.7	0.0165	0.0359	2.1687
rsuA	b2183	STM2222	0.0363835	1.27527	0.02853	0.0380258	1.14434	0.0332293	0.0383221	0.960553	0.0398959	0.0397248	0.934448	0.0425115	0.0376977	0.94587	0.0398551	0.0338786	1.27321	0.0266088	4.06309	1.204	211.1	481.9	0.0283	0.035	1.2375
yejH	b2184	STM2223	0.0257123	1.30265	0.0197385	0.0269927	1.16224	0.0232247	0.0267499	0.993471	0.0269257	0.0270598	0.984281	0.0274919	0.0255196	0.990798	0.0257566	0.0232591	1.39536	0.0166689	2.25472	0.9791	485.5	1272.5	0.0209	0.0234	1.1205
rplY	b2185	STM2224	0.0549115	0.244015	0.225034	0.0563494	0.250476	0.224969	0.0523939	0.29119	0.17993	0.0533266	0.248619	0.214491	0.0510851	0.254602	0.200647	0.0492413	0.324211	0.151881	0.55502	0.3115	58.3	223.7	0.1613	0.0501	0.3104
yejK	b2186	STM2226	0.0211722	1.31645	0.0160828	0.0208825	1.09131	0.0191352	0.0223546	0.890829	0.0250942	0.0221827	0.962621	0.0230441	0.0221827	0.962621	0.0230441	0.0195141	1.41534	0.0137876	2.12239	0.9158	259.3	745.7	0.0172	0.0194	1.1276
yejL	b2187	STM2227	0.0501009	0.589842	0.0849396	0.0491507	0.597137	0.0823107	0.0518683	0.505599	0.102588	0.0516988	0.505757	0.10222	0.0516988	0.505757	0.10222	0.0519491	0.479422	0.108358	2.57491	0.5512	62.6	162.4	0.0973	0.0513	0.5274
yejM	b2188	STM2228	0.0847614	1.38038	0.0614043	0.0904287	1.17321	0.0770781	0.0865566	1.09205	0.0792604	0.0927847	1.01002	0.0918646	0.0862388	1.04718	0.0823531	0.0750328	2.19057	0.0342527	2.08613	1.262	455.5	1302.5	0.0528	0.0745	1.4105
narP	b2193	STM2246	0.0760114	1.56541	0.0485567	0.0791734	1.29187	0.061286	0.0776035	1.1908	0.065169	0.0795055	1.0929	0.072747	0.07538	1.11524	0.0675912	0.0689838	1.31168	0.052592	2.11563	1.5261	190.3	454.7	0.0454	0.0706	1.5553
ccmH	b2194	STM3812	0.159834	1.15838	0.137981	0.165236	1.06512	0.155133	0.159342	1.07995	0.147546	0.169604	0.949003	0.178718	0.162383	0.985908	0.164704	0.149865	1.60761	0.0932221	2.49526	1.5988	240.3	779.7	0.0874	0.154	1.7627
dsbE	b2195	STM3813	0.0874094	1.29641	0.0674241	0.0883775	1.25994	0.0701445	0.089371	1.1516	0.0776063	0.0899182	1.04357	0.0861639	0.0879104	1.05849	0.0830524	0.0805182	1.37184	0.0586936	2.81494	1.6016	133.6	421.4	0.0408	0.0802	1.9645
ccmF	b2196	STM3814	0.0834321	0.928877	0.0898203	0.0838809	0.907332	0.0924478	0.0849558	0.849288	0.100032	0.0874056	0.807497	0.108243	0.0862074	0.813135	0.106018	0.0752557	1.63698	0.0459722	5.19633	1.7801	463.2	1438.8	0.035	0.077	2.1974
ccmE	b2197	STM3815	0.109743	1.58283	0.0693335	0.11204	1.4819	0.0756053	0.110161	1.47817	0.0745253	0.111599	1.22681	0.0909665	0.107959	1.28181	0.0842232	0.101776	3.48336	0.0292177	2.04774	1.9776	112	362	0.0419	0.103	2.4572
ccmD	b2198	STM3816	0.115578	0.747658	0.154587	0.113217	0.754794	0.149997	0.117353	0.709772	0.16534	0.117232	0.713532	0.164298	0.118814	0.706858	0.168088	0.110007	0.893271	0.123151	3.3165	1.4512	55.4	145.6	0.0791	0.1149	1.4534
ccmC	b2199	STM3817	0.0882636	1.02672	0.0859667	0.0865517	1.02074	0.0847935	0.0901467	0.901798	0.0999633	0.0931209	0.89935	0.103542	0.0928392	0.90021	0.103131	0.0793352	2.10097	0.0377612	7.28661	1.9159	185	550	0.0355	0.0815	2.2949
ccmB	b2200	STM3818	0.0871179	1.11625	0.078045	0.088145	1.05857	0.0832678	0.0888417	0.974132	0.0912009	0.0933448	0.924673	0.100949	0.0905447	0.940039	0.0963201	0.0819837	1.75388	0.0467441	5.54461	2.3017	190.7	457.3	0.0362	0.0869	2.399
ccmA	b2201	STM3819	0.143869	1.66991	0.0861537	0.141152	1.58257	0.0891919	0.141864	1.54664	0.091724	0.145704	1.3829	0.105361	0.144511	1.4019	0.103082	0.133771	3.50484	0.0381676	3.57992	2.3363	153.9	452.1	0.0518	0.1378	2.6619
napC	b2202	STM2255	0.0600576	1.05758	0.0567875	0.0695683	0.943971	0.0736975	0.0626932	0.820128	0.0764431	0.0691917	0.692129	0.0999694	0.0589065	0.751318	0.0784042	0.0584612	1.49487	0.0391079	1.97551	0.768	136.7	463.3	0.0636	0.0588	0.9245
napB	b2203	STM2256	0.0456725	0.809133	0.0564463	0.0451542	0.783447	0.0576353	0.0460175	0.735661	0.0625525	0.0459397	0.715417	0.0642139	0.0459397	0.715417	0.0642139	0.0427745	0.974406	0.043898	1.89238	0.6996	108.8	338.2	0.0524	0.0432	0.8239
napH	b2204	STM2257	0.0696836	0.901894	0.0772636	0.0707477	0.846681	0.0835588	0.0710506	0.777159	0.0914235	0.0729512	0.745169	0.0978989	0.0709272	0.752009	0.0943169	0.0607375	0.945861	0.0642139	2.40441	0.8972	235.8	601.2	0.0676	0.0612	0.9053
napG	b2205	STM2258	0.0306896	0.770657	0.0398226	0.0321942	0.737504	0.0436529	0.03156	0.67187	0.0469734	0.0325043	0.656192	0.0495347	0.0307418	0.661808	0.0464512	0.0269773	0.817234	0.0330106	2.47738	0.7232	187.9	505.1	0.0329	0.0268	0.8169
napA	b2206	STM2259	0.0368052	0.91523	0.0402141	0.0368156	0.882683	0.0417087	0.0381698	0.762372	0.0500671	0.0364654	0.726313	0.0502062	0.0360661	0.728073	0.0495363	0.0337208	1.38678	0.024316	2.51198	0.7405	613.7	1870.3	0.0386	0.0345	0.8939
napD	b2207	STM2260	0.106653	0.795962	0.133992	0.106906	0.854561	0.1251	0.107085	0.827957	0.129337	0.107478	0.719823	0.149312	0.106487	0.72443	0.146995	0.10837	0.731323	0.148184	1.73987	0.9172	68.7	192.3	0.129	0.11	0.8531
napF	b2208	STM2261	0.179504	1.47568	0.121641	0.177329	1.35955	0.130432	0.179305	1.27057	0.141121	0.184265	1.13073	0.16296	0.181666	1.14409	0.158786	0.173441	1.30433	0.132973	2.31839	1.5622	127.5	361.5	0.1155	0.1737	1.5045
eco	b2209	STM2262	0.119262	0.99702	0.119618	0.125344	1.00142	0.125166	0.120969	0.986732	0.122596	0.12336	0.892733	0.138182	0.11785	0.911503	0.129292	0.113853	1.01963	0.111661	1.05537	1.1736	112.5	364.5	0.0852	0.1107	1.2999
yojI	b2211	STM2263	0.0612289	1.4037	0.0436196	0.0614703	1.22044	0.0503674	0.0632763	1.06321	0.0595144	0.0629993	1.01449	0.0620993	0.0617812	1.02175	0.0604658	0.056522	1.21831	0.0463937	2.87616	1.3325	448.4	1192.6	0.0393	0.0579	1.4715
alkB	b2212	STM2264	0.151895	1.51802	0.100062	0.150677	1.31327	0.114734	0.151789	1.25396	0.121048	0.152087	1.2174	0.124928	0.150725	1.22394	0.123148	0.141857	1.50498	0.0942588	1.50186	1.8889	174	474	0.0709	0.1393	1.9656
ada	b2213	STM2265	0.178304	2.31091	0.0771574	0.18011	1.65189	0.109032	0.176562	1.66787	0.105861	0.184331	1.46594	0.125743	0.179747	1.50234	0.119645	0.171648	1.98536	0.0864569	2.08447	1.9949	289.9	760.1	0.0897	0.175	1.9497
apbE	b2214	STM2266	0.294633	0.24476	1.20376	0.299312	0.258508	1.15785	0.299584	0.25848	1.15902	0.320423	0.242888	1.31922	0.318143	0.247005	1.288	0.306513	0.226847	1.35119	2.59731	0.8944	269.8	705.2	1.4271	0.3251	0.2278
ompC	b2215	STM2267	0.148793	0.412242	0.360936	0.149113	0.42225	0.353138	0.15525	0.372561	0.416709	0.15928	0.355289	0.44831	0.158396	0.357147	0.443502	0.156209	0.36766	0.424873	3.25588	0.6603	284.4	735.6	0.4249	0.1598	0.3761
rcsD	b2216	STM2269	0.116655	0.943337	0.123662	0.116824	0.880945	0.132612	0.118785	0.794086	0.149587	0.122665	0.766129	0.160111	0.120442	0.77442	0.155526	0.111809	1.04529	0.106964	2.2533	0.9459	663.3	1910.7	0.1271	0.1138	0.8957
rcsB	b2217	STM2270	0.00405514	1.03133	0.00393197	0.00600836	0.931195	0.00645231	0.00434664	0.729118	0.00596151	0.00610585	0.777147	0.00785675	0.00424212	0.785717	0.00539905	0.0041526	1.19386	0.00347831	2.58934	0.7281	171.4	476.6	0.0047	0.0043	0.9055
rcsC	b2218	STM2271	0.106634	1.06706	0.0999325	0.10737	0.985698	0.108928	0.107755	0.90199	0.119463	0.111565	0.845942	0.131883	0.108291	0.86169	0.125672	0.103283	1.27046	0.0812957	2.2834	1.008	733.3	1957.7	0.1122	0.1065	0.9488
gyrA	b2231	STM2272	0.0461953	0.599366	0.0770736	0.0459021	0.614813	0.0746604	0.0474577	0.537841	0.0882374	0.0466427	0.51391	0.0907604	0.0460924	0.515746	0.0893703	0.0444651	0.613511	0.0724764	2.41628	0.5833	724.7	1891.3	0.0775	0.0452	0.5837
ubiG	b2232	STM2276	0.0488003	2.05017	0.023803	0.0505225	1.58883	0.0317985	0.0517475	1.31854	0.0392461	0.0533283	1.24995	0.0426645	0.0512026	1.27538	0.0401468	0.0463495	1.20353	0.0385114	5.75551	2.1542	209.9	510.1	0.0202	0.0475	2.3482
nrdA	b2234	STM2277	0.0208365	0.764175	0.0272667	0.0210284	0.753625	0.0279031	0.0222701	0.589853	0.0377553	0.021556	0.596176	0.0361572	0.0210144	0.598147	0.0351325	0.0198408	0.860353	0.0230613	3.13058	0.5928	586.5	1696.5	0.0284	0.0202	0.7107
nrdB	b2235	STM2278	0.00922557	1.14512	0.00805639	0.010183	1.02577	0.00992717	0.0100704	0.748683	0.0134508	0.0110057	0.791513	0.0139047	0.00995849	0.796903	0.0124965	0.0101	0.871064	0.011595	3.66159	0.7794	306.2	821.8	0.0108	0.01	0.9301
yfaE	b2236	STM2279	0.0160101	0.809466	0.0197786	0.0182947	0.763572	0.0239593	0.016096	0.71638	0.0224685	0.0183393	0.749299	0.0244753	0.0159338	0.757864	0.0210245	0.0158513	0.965973	0.0164096	1.28534	0.6538	66.2	185.8	0.0208	0.0163	0.7836
glpQ	b2239	STM2282	0.0625359	1.08011	0.0578975	0.0628833	1.01191	0.0621431	0.0643826	0.857334	0.0750963	0.0640985	0.820055	0.0781636	0.0622593	0.826479	0.0753308	0.0622987	1.05472	0.0590667	1.86069	0.8977	251.9	807.1	0.0578	0.0613	1.0615
glpT	b2240	STM2283	0.0162152	0.752356	0.0215526	0.0169048	0.755709	0.0223695	0.016907	0.634904	0.0266292	0.0171354	0.632917	0.0270736	0.0162186	0.636139	0.0254953	0.0162794	0.760293	0.0214121	3.04022	0.6168	375.8	980.2	0.0237	0.0166	0.6987
glpA	b2241	STM2284	0.0823722	0.77243	0.10664	0.0842494	0.738587	0.114068	0.0842389	0.68033	0.123821	0.0893503	0.673681	0.13263	0.0866601	0.683342	0.126818	0.0815524	0.776954	0.104964	2.72618	0.8123	438.6	1145.4	0.1085	0.0827	0.7619
glpB	b2242	STM2285	0.23738	0.609343	0.389567	0.239667	0.607563	0.394473	0.236677	0.61199	0.386732	0.250405	0.541948	0.462047	0.244782	0.560925	0.436391	0.253623	0.514007	0.493424	2.41246	1.0464	382.1	811.9	0.4848	0.2603	0.5369
glpC	b2243	STM2286	0.0373472	1.4695	0.025415	0.0398972	1.24313	0.032094	0.0382045	1.1268	0.0339054	0.0394557	1.078	0.0366007	0.0365132	1.09788	0.0332579	0.0299665	1.85376	0.0161653	1.97531	1.0667	301	887	0.0234	0.0308	1.3128
rhmA	b2245	STM2289	0.0716218	2.01715	0.0355064	0.0759527	1.65072	0.046012	0.0711247	1.65849	0.0428852	0.0770584	1.62968	0.0472843	0.0722248	1.65378	0.0436725	0.0643483	2.44897	0.0262756	1.35775	2.1972	198.9	536.1	0.025	0.0635	2.5353
rhmT	b2246	STM2290	0.211521	0.291747	0.725016	0.212741	0.29983	0.709537	0.213551	0.294229	0.725798	0.223923	0.253045	0.884914	0.220709	0.261595	0.843703	0.224965	0.257035	0.87523	2.67949	0.7227	244.6	574.4	0.9457	0.2368	0.2504
rhmD	b2247	STM2291	0.0225317	1.34065	0.0168065	0.0233049	1.19364	0.0195242	0.0230504	1.02344	0.0225225	0.0237302	1.01546	0.0233689	0.0224305	1.02159	0.0219564	0.0191981	1.86984	0.0102672	2.1958	0.9432	317.7	885.3	0.0172	0.0195	1.1363
rhmR	b2248	STM2292	0.0825613	3.32487	0.0248315	0.084902	1.80044	0.0471562	0.0841476	1.63267	0.0515398	0.0876898	1.57888	0.0555392	0.0840924	1.60278	0.0524667	0.0722735	1.9422	0.0372122	2.083	1.7141	212.6	567.4	0.0382	0.0726	1.9025
yfaY	b2249	STM2293	0.0763987	1.98439	0.0384998	0.0797405	1.51202	0.0527378	0.0784331	1.38935	0.0564529	0.079925	1.24225	0.0643391	0.0759743	1.27135	0.0597589	0.0700495	1.51936	0.0461045	2.13758	1.4877	345.3	848.7	0.0463	0.0713	1.5394
nudI	b2251	STM2295	0.089234	1.74008	0.0512815	0.0955	1.5353	0.0622028	0.0898273	1.46188	0.0614466	0.0931028	1.5476	0.0601596	0.0857724	1.57562	0.0544372	0.0757543	3.96727	0.0190948	0.67736	1.6968	94.4	325.6	0.0331	0.0747	2.2587
ais	b2252	STM2296	0.414834	0.242761	1.70882	0.413247	0.284862	1.4507	0.413884	0.287248	1.44086	0.444394	0.247871	1.79284	0.441906	0.254156	1.73872	0.459176	0.1911	2.40281	2.67333	1.2069	137.9	357.1	2.6704	0.4872	0.1824
arnB	b2253	STM2297	0.123797	NA	NA	0.102193	0.979736	0.104307	0.104044	0.925501	0.11242	0.105053	1.03855	0.101153	0.105053	1.03855	0.101153	0.119978	4.91542	0.0244085	1.70654	2.8671	319.9	817.1	0.0397	0.1224	3.0845
arnC	b2254	STM2298	0.077693	1.60072	0.0485363	0.0807133	1.3687	0.0589709	0.0797977	1.19814	0.0666013	0.0823345	1.09701	0.0750538	0.0776906	1.12458	0.069084	0.0732886	2.42627	0.0302063	2.37014	1.3169	260.1	693.9	0.0513	0.0727	1.4161
arnA	b2255	STM2299	0.278462	0.459546	0.60595	0.284313	0.46184	0.615609	0.285528	0.449258	0.635554	0.304106	0.420386	0.723397	0.299535	0.432494	0.692577	0.298384	0.394658	0.756058	2.57693	1.0072	545.6	1356.4	0.7153	0.3013	0.4213
arnD	b2256	STM2300	0.30537	0.687974	0.443869	0.305376	0.71167	0.429098	0.309413	0.676406	0.457437	0.324748	0.616254	0.52697	0.322503	0.621836	0.51863	0.31628	0.664117	0.476242	2.79874	1.2543	233.7	612.3	0.4956	0.3263	0.6585
arnT	b2257	STM2301	0.235383	1.04807	0.224587	0.235435	1.04542	0.225207	0.232134	1.03564	0.224145	0.245603	0.905087	0.271358	0.238205	0.939314	0.253595	0.244823	0.915323	0.267472	2.48981	1.4109	466.4	1105.6	0.2473	0.2471	0.9993
arnF	b2258	STM2303	0.275837	1.69562	0.162676	0.271514	1.58786	0.170994	0.276087	1.50315	0.183673	0.279755	1.3898	0.201292	0.277917	1.39243	0.199592	0.284124	1.36346	0.208385	1.85605	2.5117	118.4	256.6	0.1363	0.279	2.0472
pmrD	b2259	STM2304	0.459985	0.239759	1.91853	0.459978	0.281411	1.63454	0.466761	0.268897	1.73584	0.490555	0.246688	1.98857	0.488646	0.248119	1.9694	0.483691	0.218626	2.21241	2.32902	1.3022	58.5	151.5	2.5114	0.5214	0.2076
menE	b2260	STM2305	0.1381	2.02151	0.0683153	0.139577	1.52954	0.0912545	0.136936	1.5306	0.0894653	0.143656	1.42695	0.100674	0.140291	1.45016	0.0967418	0.130708	1.74253	0.0750104	2.23236	2.0024	375.3	971.7	0.0654	0.1341	2.0487
menC	b2261	STM2306	0.070391	1.02055	0.0689733	0.0709089	0.944263	0.0750944	0.0712226	0.881293	0.0808161	0.0722608	0.834708	0.0865702	0.0708091	0.840909	0.0842054	0.0619494	1.28374	0.0482569	2.29498	1.0446	260.9	681.1	0.0583	0.0636	1.0912
menB	b2262	STM2307	0.0169711	0.677695	0.0250423	0.0166886	0.681926	0.0244727	0.0177132	0.566134	0.031288	0.0166445	0.567929	0.0293074	0.0166445	0.567929	0.0293074	0.0156212	0.786634	0.0198583	2.44712	0.5212	214.8	640.2	0.025	0.0161	0.6435
menH	b2263	STM2308	0.180814	1.02229	0.176872	0.181004	0.989808	0.182868	0.178044	0.997204	0.178543	0.181003	0.934117	0.193769	0.17752	0.94425	0.188001	0.165474	1.21287	0.136432	1.16041	1.4023	206	550	0.1288	0.1645	1.2765
menD	b2264	STM2309	0.0566511	1.31761	0.0429952	0.0571529	1.16763	0.048948	0.0575595	1.08046	0.0532733	0.0585618	1.04486	0.0560473	0.0574509	1.05053	0.0546873	0.0478408	2.11072	0.0226656	2.51869	1.3	470.5	1197.5	0.0344	0.0486	1.4125
menF	b2265	STM2310	0.145745	2.88173	0.0505755	0.147554	1.788	0.0825245	0.144463	1.78168	0.0810825	0.147449	1.4804	0.0996003	0.142731	1.52802	0.0934088	0.13196	2.93251	0.044999	1.5443	2.2293	351.2	932.8	0.057	0.1344	2.3599
elaB	b2266	STM2311	0.0621378	1.17702	0.0527927	0.0634217	1.16853	0.0542747	0.0646584	1.08128	0.0597982	0.0628977	0.995185	0.063202	0.0624698	0.996706	0.0626762	0.0536398	1.27947	0.0419233	1.81855	1.3296	84.4	218.6	0.0374	0.0542	1.4505
elaA	b2267	STM2312	0.1453	2.24948	0.064593	0.147537	1.79086	0.0823833	0.144961	1.70958	0.0847934	0.145851	1.62695	0.0896467	0.140929	1.64968	0.0854278	0.133698	4.32696	0.0308987	0.99075	3.7482	105	354	0.026	0.1306	5.0202
rbn	b2268	STM2313	0.121796	2.34642	0.0519071	0.123627	1.70854	0.0723584	0.122376	1.6252	0.0752989	0.122829	1.53351	0.0800966	0.119041	1.55202	0.0767011	0.105242	2.69372	0.0390695	1.09861	2.0498	248.8	666.2	0.0473	0.1056	2.2302
yfbK	b2270	STM2315	0.22794	2.41287	0.0944685	0.227054	1.87069	0.121375	0.222828	1.91807	0.116173	0.228689	1.48801	0.153688	0.223532	1.53361	0.145755	0.212126	2.47492	0.0857101	1.51528	2.583	417.4	1199.6	0.0783	0.2133	2.7227
nuoN	b2276	STM2316	0.0287498	0.535534	0.0536844	0.0287429	0.542772	0.0529558	0.0297717	0.472304	0.063035	0.0290689	0.458059	0.0634611	0.0285591	0.459592	0.06214	0.0255889	0.636852	0.0401803	4.42671	0.6116	354.9	920.1	0.0396	0.0263	0.6643
nuoM	b2277	STM2317	0.0196302	0.460777	0.0426023	0.0203706	0.465921	0.0437211	0.0203959	0.399397	0.0510666	0.0201242	0.390551	0.0515276	0.0190955	0.393845	0.0484848	0.0176593	0.56419	0.0313003	3.03564	0.4492	403.2	1123.8	0.0356	0.0184	0.5158
nuoL	b2278	STM2318	0.0269458	0.492931	0.0546644	0.0269341	0.49808	0.054076	0.0276961	0.444582	0.0622971	0.0280389	0.441033	0.0635755	0.0276893	0.442038	0.0626401	0.026167	0.509994	0.0513084	3.28805	0.5059	486.5	1352.5	0.0468	0.0264	0.5642
nuoK	b2279	STM2319	0.00904312	0.377753	0.0239392	0.00888432	0.399669	0.0222292	0.00966697	0.318703	0.0303322	0.00823293	0.317504	0.0259301	0.00823293	0.317504	0.0259301	0.00993169	0.303319	0.0327434	4.16175	0.3351	94.5	205.5	0.0299	0.0099	0.333
nuoJ	b2280	STM2320	0.0256625	0.455553	0.0563325	0.0301409	0.454181	0.0663631	0.0270434	0.389491	0.0694327	0.0310887	0.376646	0.082541	0.0264159	0.390265	0.0676871	0.0240637	0.449421	0.0535438	4.2414	0.5031	166	386	0.0489	0.0245	0.5007
nuoI	b2281	STM2321	0.00241851	0.427349	0.00565934	0.00237505	0.434129	0.00547084	0.00259413	0.333147	0.00778675	0.0021901	0.358702	0.00610562	0.0021901	0.358702	0.00610562	0.00248365	0.411527	0.0060352	2.66462	0.3059	137	403	0.0063	0.0025	0.3947
nuoH	b2282	STM2322	0.0205801	0.398606	0.0516302	0.0216829	0.403338	0.0537587	0.0214898	0.343987	0.0624727	0.0224798	0.345163	0.0651281	0.0211696	0.349194	0.0606241	0.021478	0.362275	0.0592862	2.92467	0.374	260.9	714.1	0.0521	0.0212	0.4077
nuoG	b2283	STM2323	0.0299309	0.680176	0.0440046	0.0299558	0.676848	0.0442579	0.0311438	0.574055	0.0542523	0.0303043	0.560792	0.0540383	0.0298413	0.562406	0.0530601	0.0284483	0.749532	0.0379548	2.79205	0.5734	717.8	2006.2	0.0453	0.0291	0.644
nuoF	b2284	STM2324	0.0079823	0.654735	0.0121916	0.00786265	0.644491	0.0121998	0.0085059	0.515861	0.0164888	0.00877297	0.538268	0.0162985	0.00877297	0.538268	0.0162985	0.00640847	0.559365	0.0114567	3.9341	0.5132	358.6	976.4	0.0101	0.0063	0.6199
nuoE	b2285	STM2325	0.0167183	0.495306	0.0337535	0.018809	0.502497	0.0374311	0.017456	0.404198	0.0431868	0.0187364	0.408304	0.0458883	0.0162866	0.415811	0.0391683	0.0160433	0.525965	0.0305026	2.37553	0.3973	123.9	374.1	0.0338	0.0163	0.4829
nuoC	b2286	STM2326	0.029467	0.532334	0.0553544	0.0293742	0.542127	0.0541833	0.0305743	0.466483	0.0655421	0.0293147	0.451513	0.0649256	0.0290718	0.452289	0.0642771	0.0273357	0.620485	0.0440554	2.39911	0.4711	440.4	1347.6	0.05	0.0277	0.5529
nuoB	b2287	STM2327	0.00396659	0.728747	0.00544302	0.00390185	0.713096	0.0054717	0.00409929	0.609579	0.00672479	0.00408079	0.627669	0.0065015	0.00408079	0.627669	0.0065015	0.00404049	0.745823	0.00541749	2.43557	0.553	175.3	484.7	0.0061	0.0041	0.6824
nuoA	b2288	STM2328	0.0129878	0.146365	0.0887358	0.0127789	0.152474	0.0838104	0.0133789	0.133408	0.100286	0.0133143	0.134015	0.0993497	0.0133143	0.134015	0.0993497	0.0129669	0.128452	0.100948	2.437	0.1439	132.3	308.7	0.1028	0.0133	0.1289
lrhA	b2289	STM2330	0.0884138	1.70467	0.0518657	0.0891203	1.41385	0.063034	0.0889567	1.31684	0.0675533	0.0929157	1.28985	0.0720362	0.0906288	1.29968	0.0697319	0.0862735	1.59278	0.0541653	2.26259	1.4743	263.6	660.4	0.0574	0.0865	1.5057
alaA	b2290	STM2331	0.0249037	1.56522	0.0159106	0.0256957	1.32719	0.0193609	0.0258028	1.12835	0.0228678	0.025642	1.124	0.0228132	0.0245043	1.12997	0.0216857	0.0192482	1.36619	0.014089	1.76513	1.0723	309.7	899.3	0.0136	0.0183	1.342
yfbR	b2291	STM2332	0.0573758	1.81645	0.0315868	0.0639211	1.35549	0.0471572	0.0595175	1.20149	0.0495363	0.0629718	1.09328	0.0575989	0.056164	1.13481	0.0494918	0.0506712	1.62247	0.0312309	1.89924	1.4266	161.4	435.6	0.0323	0.0522	1.6182
yfbS	b2292	STM2333	0.202367	0.293065	0.690519	0.200781	0.313267	0.640927	0.206244	0.289569	0.712243	0.215666	0.28528	0.755978	0.214089	0.289572	0.73933	0.219505	0.250731	0.875461	3.19397	0.7182	511	1196	0.8244	0.2251	0.273
yfbT	b2293	STM2334	0.174436	0.443401	0.393405	0.169726	0.468549	0.362237	0.171278	0.456102	0.375527	0.178893	0.448282	0.399064	0.178893	0.448282	0.399064	0.186303	0.369194	0.504621	2.43209	0.7799	150.3	329.7	0.4573	0.1896	0.4145
yfbU	b2294	STM2335	0.0276345	1.39569	0.0197999	0.0264785	1.25031	0.0211776	0.0293643	0.952574	0.0308263	0.0267275	0.939085	0.0284612	0.0271603	0.935704	0.0290266	0.0206366	2.92311	0.00705981	2.35011	0.8861	121.9	370.1	0.0196	0.022	1.125
yfbV	b2295	STM2336	0.0312217	0.901023	0.0346514	0.0373245	0.821103	0.0454566	0.0314082	0.801576	0.039183	0.0376498	0.791347	0.0475768	0.0316147	0.811241	0.0389708	0.0214343	0.93592	0.0229019	1.24605	0.7632	121.8	331.2	0.0243	0.0215	0.8873
ackA	b2296	STM2337	0.0117252	0.448999	0.0261142	0.0115225	0.462787	0.0248981	0.0125086	0.368159	0.0339761	0.0115392	0.373255	0.0309151	0.0115392	0.373255	0.0309151	0.0114666	0.45858	0.0250046	3.10879	0.3675	342.8	857.2	0.0301	0.012	0.3989
pta	b2297	STM2338	0.0177458	0.617215	0.0287514	0.0177728	0.642165	0.0276764	0.0185869	0.541834	0.0343036	0.0183346	0.537059	0.0341389	0.0180361	0.537964	0.0335266	0.0178149	0.609063	0.0292497	3.66384	0.5509	609.1	1529.9	0.0303	0.0181	0.5993
yfcC	b2298	STM2339	0.0441516	1.00812	0.0437961	0.0459991	0.942264	0.0488177	0.0443586	0.896743	0.0494664	0.0469477	0.865453	0.0542465	0.0445202	0.876447	0.0507962	0.0420258	0.962917	0.0436443	1.87538	1.0181	433.4	1084.6	0.0384	0.0416	1.0844
yfcD	b2299	STM2346	0.0314971	1.12432	0.0280144	0.0310497	1.05535	0.0294213	0.0332724	0.85447	0.0389392	0.0321248	0.85545	0.0375531	0.0321248	0.85545	0.0375531	0.0327022	0.923779	0.0354005	2.67768	0.8533	157.1	370.9	0.0382	0.0335	0.877
yfcE	b2300	STM2347	0.100322	1.96947	0.0509388	0.101615	1.4769	0.0688031	0.104071	1.27701	0.0814959	0.105936	1.17948	0.0898156	0.102929	1.20049	0.0857394	0.0898053	1.59148	0.0564289	3.38949	1.8849	160.3	388.7	0.0488	0.0939	1.9242
yfcF	b2301	STM2348	0.129229	1.73369	0.0745401	0.126823	1.61404	0.0785751	0.128	1.5601	0.0820462	0.126366	1.32821	0.0951408	0.126178	1.32907	0.0949372	0.122069	1.44595	0.0844216	1.47183	1.5834	176.4	465.6	0.077	0.123	1.5965
yfcG	b2302	STM2349	0.155276	NA	NA	0.15552	2.34361	0.066359	0.152558	2.44734	0.0623364	0.155752	1.92154	0.081056	0.15165	2.0397	0.0743492	0.136421	3.80642	0.0358396	1.32319	2.817	160.5	484.5	0.0403	0.1355	3.3645
yfcH	b2304	STM2350	0.0942337	1.42707	0.0660332	0.101077	1.25906	0.0802797	0.0932869	1.30956	0.0712354	0.102464	1.22848	0.0834071	0.0952275	1.26275	0.0754126	0.0873958	1.46738	0.0595591	1.68709	1.4624	252.5	638.5	0.0569	0.0855	1.5038
